movie_title,content_rating,genres,directors,runtime,tomatometer_status,tomatometer_rating,audience_rating,tomatometer_top_critics_count
Lucky,R,"Documentary, Special Interest",Jeffrey Blitz,90,Fresh,60,39,2
High School,R,Comedy,"John Stalberg, Jr.",99,Rotten,28,48,18
Stolen,R,"Drama, Mystery & Suspense",Anders Anderson,97,Rotten,0,39,12
The Killing Jar,R,"Drama, Mystery & Suspense",Mark Young,90,Rotten,0,36,6
La MISSION,R,Drama,Peter Bratt,117,Rotten,50,72,9
Predators,R,"Action & Adventure, Horror, Science Fiction & Fantasy",Nimród Antal,107,Fresh,64,52,32
Stonewall Uprising,PG-13,"Documentary, Special Interest","Kate Davis, David Heilbroner",82,Fresh,84,76,15
The Oath,NR,"Documentary, Special Interest",Laura Poitras,90,Fresh,91,79,10
The Wild Hunt,NR,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Alexandre Franchi,96,Fresh,82,74,2
Arthur,PG,"Comedy, Romance",Steve Gordon,97,Fresh,88,77,7
The Lottery,PG,"Documentary, Special Interest",Madeleine Sackler,81,Fresh,64,76,7
Assault on Precinct 13,R,"Action & Adventure, Drama, Mystery & Suspense",John Carpenter,91,Certified-Fresh,98,80,5
Asylum,PG,"Documentary, Horror, Mystery & Suspense, Science Fiction & Fantasy, Special Interest, Romance",Peter Robinson,88,Fresh,67,48,2
Attack of the 50 Foot Woman,PG,"Classics, Science Fiction & Fantasy",Nathan Juran,66,Fresh,75,20,0
Avenging Angel,R,"Action & Adventure, Drama, Mystery & Suspense",Robert Vincent O'Neil,93,Rotten,33,25,1
The Aviator,PG,"Action & Adventure, Drama",George T. Miller,98,Rotten,20,41,0
The Awakening,R,"Horror, Mystery & Suspense",Mike Newell,102,Rotten,0,22,0
Babes in Toyland,G,"Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy, Romance",Jack Donohue,106,Rotten,36,59,1
Bad Company,PG,"Action & Adventure, Drama, Western",Robert Benton,93,Fresh,92,71,4
The Bad News Bears,PG,"Classics, Comedy",Michael Ritchie,102,Fresh,97,80,8
The Bad Seed,NR,"Classics, Drama, Horror, Mystery & Suspense",Mervyn LeRoy,129,Fresh,63,83,5
Bang The Drum Slowly,PG,"Classics, Comedy, Drama, Sports & Fitness","John D. Hancock, John Hancock",96,Fresh,92,62,10
Battleground,NR,"Action & Adventure, Classics, Drama",William Wellman,118,Fresh,75,82,1
Beauty and The Beast (La Belle et la bête),NR,"Drama, Science Fiction & Fantasy, Romance",Jean Cocteau,95,Certified-Fresh,95,90,16
The Belles of St. Trinian's,NR,"Action & Adventure, Classics, Comedy",Frank Launder,91,Fresh,67,70,0
1001 Grams,NR,Drama,Bent Hamer,93,Fresh,82,48,7
The Best of Times,PG-13,"Comedy, Drama",Roger Spottiswoode,104,Rotten,31,43,2
Betrayed,R,"Action & Adventure, Drama, Mystery & Suspense","Betsy Blair, Debra Winger, John Heard, John Mahoney, Ted Levine, Tom Berenger, Costa-Gavras",127,Rotten,42,52,3
The Big Brawl (Battle Creek Brawl),R,"Action & Adventure, Comedy",Robert Clouse,95,Fresh,67,44,0
Big Business,PG,Comedy,Jim Abrahams,97,Rotten,44,69,2
The Big Heat,PG,"Classics, Drama, Mystery & Suspense",Fritz Lang,90,Fresh,100,90,7
The Big Sleep,PG,"Classics, Drama, Mystery & Suspense",Howard Hawks,114,Certified-Fresh,97,91,15
The Big Sleep,R,"Art House & International, Drama, Mystery & Suspense",Michael Winner,99,Fresh,67,26,1
Billy Budd,NR,"Action & Adventure, Classics, Drama",Peter Ustinov,123,Fresh,90,86,0
The Birds,PG-13,"Classics, Horror, Mystery & Suspense",Alfred Hitchcock,119,Certified-Fresh,95,83,10
Black Christmas,R,"Horror, Mystery & Suspense",Bob Clark,98,Fresh,71,75,4
The Black Hole,PG,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",Gary Nelson,97,Rotten,38,45,4
The Black Pirate,NR,"Action & Adventure, Classics",Albert Parker,85,Fresh,100,68,1
Black Rain,R,"Action & Adventure, Drama, Mystery & Suspense",Ridley Scott,125,Rotten,50,55,1
Black Sunday,R,"Action & Adventure, Drama, Horror, Mystery & Suspense",John Frankenheimer,143,Fresh,69,64,6
Black Widow,R,"Drama, Mystery & Suspense",Bob Rafelson,102,Rotten,50,40,2
Blackmail,NR,"Classics, Drama, Mystery & Suspense",Alfred Hitchcock,86,Fresh,86,65,4
Blind Date,PG-13,"Comedy, Drama",Blake Edwards,93,Rotten,21,42,3
Blood and Sand,NR,"Classics, Drama, Romance",Rouben Mamoulian,120,Fresh,100,67,0
Blood Feast,NR,"Classics, Horror",Herschell Gordon Lewis,58,Rotten,38,44,0
Der Blaue Engel (The Blue Angel),NR,"Art House & International, Classics, Drama, Musical & Performing Arts",Josef von Sternberg,94,Certified-Fresh,96,87,12
Bluebeard,G,"Classics, Drama, Horror, Mystery & Suspense",Edgar G. Ulmer,73,Fresh,100,38,3
The Border,R,"Action & Adventure, Drama, Mystery & Suspense",Tony Richardson,107,Fresh,80,53,1
Born Yesterday,NR,"Classics, Comedy, Drama",George Cukor,103,Fresh,97,86,6
The Boston Strangler,R,"Classics, Drama, Mystery & Suspense",Richard Fleischer,116,Fresh,86,78,2
The Bounty,PG,"Action & Adventure, Drama",Roger Donaldson,132,Fresh,74,72,4
The Boys from Brazil,R,"Action & Adventure, Drama, Mystery & Suspense",Franklin J. Schaffner,123,Fresh,69,66,5
Brainstorm,PG,"Mystery & Suspense, Science Fiction & Fantasy",Douglas Trumbull,106,Rotten,55,56,1
Breakout,PG,Action & Adventure,Tom Gries,96,Rotten,40,41,1
Brewster's Millions,PG,Comedy,Walter Hill,97,Rotten,35,55,0
Brian's Song,G,"Classics, Drama, Television",Buzz Kulik,74,Fresh,92,82,2
Brief Encounter,NR,"Classics, Drama, Romance",David Lean,86,Certified-Fresh,91,91,15
Broken Arrow,G,"Action & Adventure, Classics, Drama, Western, Romance",Delmer Daves,93,Fresh,89,70,3
Broken Blossoms,NR,"Classics, Drama, Romance",D.W. Griffith,87,Fresh,95,71,5
The Brotherhood,PG-13,"Action & Adventure, Classics, Drama",Martin Ritt,98,Fresh,67,25,2
Bug,PG,"Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy",Jeannot Szwarc,100,Rotten,33,25,3
Burglar,R,"Comedy, Drama",Hugh Wilson,102,Rotten,27,39,1
Bus Stop,G,"Comedy, Drama, Romance",Joshua Logan,96,Fresh,79,62,0
Butch Cassidy and the Sundance Kid,PG,"Action & Adventure, Classics, Western",George Roy Hill,110,Certified-Fresh,90,92,8
Bye Bye Birdie,G,"Classics, Comedy, Kids & Family, Musical & Performing Arts",George Sidney,112,Fresh,89,66,6
Calamity Jane,G,"Classics, Comedy, Musical & Performing Arts, Western, Romance",David Butler,101,Fresh,71,87,4
Camelot,G,"Action & Adventure, Classics, Comedy, Drama, Musical & Performing Arts, Science Fiction & Fantasy, Romance","Joshua Logan, Moss Hart",179,Rotten,41,69,1
Camille,NR,"Classics, Drama, Romance",George Cukor,108,Fresh,93,83,2
Cape Fear,NR,"Classics, Drama, Mystery & Suspense",J. Lee Thompson,105,Fresh,100,86,1
Captain Blood,NR,"Action & Adventure, Classics",Michael Curtiz,119,Fresh,100,89,4
Captains Courageous,PG,"Action & Adventure, Classics",Victor Fleming,117,Fresh,94,89,0
Carnival of Souls,R,"Classics, Comedy, Horror, Mystery & Suspense",Herk Harvey,80,Fresh,86,73,5
Carny,R,"Drama, Horror",Robert Kaylor,107,Rotten,50,52,2
Carrie,R,Horror,Brian DePalma,98,Certified-Fresh,93,77,13
Casablanca,PG,"Classics, Drama, Romance",Michael Curtiz,102,Certified-Fresh,99,95,23
Casino Royale,G,"Action & Adventure, Classics, Comedy","Richard Talmadge, Kenneth Hughes, John Huston, Joseph McGrath, Robert Parrish, Val Guest, Ken Hughes",131,Rotten,25,34,8
The Cat and the Canary,NR,"Classics, Horror, Mystery & Suspense",Paul Leni,75,Fresh,94,74,8
Cat on a Hot Tin Roof,PG,"Classics, Drama",Richard Brooks,,Fresh,97,92,5
Cat People,R,"Drama, Horror, Romance",Jacques Tourneur,73,Certified-Fresh,95,73,6
Cat People,R,"Drama, Horror, Mystery & Suspense",Paul Schrader,118,Fresh,61,46,7
Caught,NR,"Classics, Drama, Mystery & Suspense",Max Ophüls,88,Fresh,100,78,0
The Champ,PG,"Drama, Sports & Fitness",Franco Zeffirelli,122,Rotten,36,82,5
Champion,NR,"Classics, Drama",Mark Robson,99,Fresh,93,74,5
Charade,G,"Classics, Comedy, Drama, Mystery & Suspense",Stanley Donen,114,Certified-Fresh,94,92,9
Charlotte's Web,G,"Animation, Kids & Family","Charles A. Nichols, Iwao Takamoto, Charles Nichols",93,Fresh,77,67,1
The Chase,NR,"Classics, Drama",Arthur Penn,135,Fresh,89,74,0
Checking Out,R,Comedy,David Leland,95,Rotten,20,18,1
Children of the Corn,R,"Cult Movies, Horror, Mystery & Suspense",Fritz Kiersch,93,Rotten,35,40,0
The Chosen,PG,Drama,Jeremy Kagan,108,Fresh,75,79,5
A Christmas Carol,G,"Classics, Drama, Kids & Family, Science Fiction & Fantasy",Edwin L. Marin,69,Fresh,100,74,0
Christmas in Connecticut,G,"Classics, Comedy",Peter Godfrey,101,Fresh,88,75,3
A Christmas Story,PG,"Comedy, Drama, Kids & Family",Bob Clark,93,Certified-Fresh,89,88,7
Cimarron,NR,"Classics, Drama, Western",Wesley Ruggles,131,Rotten,50,25,6
Cleopatra,G,"Classics, Drama",Joseph L. Mankiewicz,243,Fresh,62,69,10
College,NR,"Classics, Comedy, Romance",James W. Horne,65,Fresh,89,73,4
Colors,R,"Action & Adventure, Drama",Dennis Hopper,120,Fresh,82,72,7
Coma,PG,"Action & Adventure, Mystery & Suspense",Michael Crichton,113,Fresh,81,66,5
Commando,R,Action & Adventure,Mark L. Lester,90,Fresh,71,67,4
Convoy,PG,"Action & Adventure, Drama",Sam Peckinpah,110,Rotten,43,73,3
Countdown,NR,"Action & Adventure, Documentary, Drama, Mystery & Suspense, Science Fiction & Fantasy",Robert Altman,101,Fresh,67,27,1
The Country Girl,NR,"Classics, Drama",George Seaton,104,Fresh,86,77,0
Cover Girl,NR,"Classics, Comedy, Musical & Performing Arts, Romance",Charles Vidor,107,Fresh,95,70,4
Creature from the Black Lagoon,G,"Classics, Cult Movies, Horror, Science Fiction & Fantasy",Jack Arnold,79,Certified-Fresh,79,73,5
Crossroads,R,Drama,Walter Hill,98,Fresh,73,82,2
Cutting Class,R,"Comedy, Drama, Horror",Rospo Pallenberg,90,Rotten,25,22,0
Damn Yankees,NR,"Classics, Comedy, Drama, Musical & Performing Arts, Science Fiction & Fantasy","George Abbott, Stanley Donen",110,Fresh,76,69,5
Dangerous,G,"Classics, Drama",Alfred E. Green,78,Fresh,83,61,0
Dangerous Liaisons,R,Drama,Stephen Frears,120,Fresh,93,83,8
The Dark Mirror,NR,"Drama, Mystery & Suspense",Robert Siodmak,85,Fresh,71,56,1
Darling,NR,"Art House & International, Classics, Comedy, Drama, Romance",John Schlesinger,128,Fresh,67,71,3
Day of the Dead,R,Horror,George A. Romero,102,Fresh,81,75,3
The Day the Earth Stood Still,G,"Classics, Drama, Science Fiction & Fantasy",Robert Wise,92,Certified-Fresh,95,87,6
Days of Wine and Roses,NR,"Classics, Drama",Blake Edwards,117,Fresh,100,88,1
Dead Heat,R,"Action & Adventure, Comedy, Horror, Mystery & Suspense",Mark Goldblatt,88,Rotten,11,49,3
Dead Reckoning,NR,"Classics, Drama, Mystery & Suspense",John Cromwell,100,Fresh,67,66,0
Death in Venice,PG,Drama,Luchino Visconti,130,Fresh,71,81,4
Death of a Salesman,PG,"Drama, Television","Volker Schlöndorff, V. Schlöndorff",135,Fresh,100,75,0
Dèmoni (Demons),R,"Art House & International, Horror",Lamberto Bava,90,Fresh,60,65,0
The Desperate Hours,NR,"Classics, Drama, Mystery & Suspense",William Wyler,112,Fresh,86,79,0
Devil Doll,NR,"Classics, Horror",Tod Browning,80,Rotten,20,28,0
Dillinger,R,"Action & Adventure, Drama, Mystery & Suspense",John Milius,107,Fresh,92,73,1
Dinner at Eight,NR,"Classics, Comedy, Drama, Romance",George Cukor,113,Fresh,90,74,1
Distant Thunder,R,Drama,Rick Rosenthal,114,Rotten,43,45,1
Doctor Zhivago,PG-13,"Classics, Drama, Television, Romance",David Lean,197,Certified-Fresh,84,88,15
Dodge City,NR,"Classics, Western",Michael Curtiz,104,Fresh,100,74,1
Dolls,R,Horror,Stuart Gordon,77,Fresh,60,51,1
Dr. Jekyll and Mr. Hyde,NR,"Drama, Horror",Rouben Mamoulian,97,Certified-Fresh,90,80,10
How the Grinch Stole Christmas,NR,"Animation, Classics, Comedy, Kids & Family, Musical & Performing Arts, Television","Chuck Jones, Ben Washam",,Fresh,100,98,5
Dracula,NR,"Classics, Horror",Tod Browning,75,Certified-Fresh,92,81,7
Dracula,R,"Horror, Mystery & Suspense",Dan Curtis,97,Fresh,60,43,0
Dracula,R,"Art House & International, Drama, Horror, Romance",John Badham,109,Rotten,59,58,1
Dragnet,PG-13,"Action & Adventure, Comedy",Tom Mankiewicz,106,Rotten,51,41,8
The Dream Team,PG-13,Comedy,Howard Zieff,113,Rotten,57,61,1
Dressed to Kill,R,"Drama, Horror, Mystery & Suspense",Brian DePalma,105,Certified-Fresh,80,74,5
Duel,PG,"Mystery & Suspense, Television",Steven Spielberg,95,Fresh,88,84,4
Dune,PG-13,Science Fiction & Fantasy,David Lynch,137,Rotten,53,66,9
The Eagle Has Landed,PG,"Action & Adventure, Art House & International, Mystery & Suspense",John Sturges,123,Fresh,67,67,0
East of Eden,PG,"Classics, Drama",Elia Kazan,115,Fresh,85,90,5
Easy Money,R,"Action & Adventure, Comedy",James Signorelli,95,Fresh,60,58,3
Eaten Alive,R,"Horror, Mystery & Suspense",Tobe Hooper,90,Rotten,35,30,0
Edipo re (Oedipus Rex),NR,"Art House & International, Drama",Pier Paolo Pasolini,110,Fresh,88,77,4
The Elephant Man,PG,Drama,David Lynch,125,Certified-Fresh,92,93,10
The Enforcer,R,"Action & Adventure, Drama, Mystery & Suspense","James Fargo, Allen E. Smith",96,Fresh,68,59,4
The Enforcer,NR,"Classics, Drama, Mystery & Suspense","Raoul Walsh, Bretaigne Windust",87,Fresh,88,70,0
Escape from New York,R,"Action & Adventure, Science Fiction & Fantasy",John Carpenter,100,Certified-Fresh,86,77,9
Exodus,G,"Classics, Drama",Otto Preminger,207,Fresh,63,69,3
Eyewitness,R,"Horror, Mystery & Suspense",Peter Yates,103,Fresh,75,38,5
Fahrenheit 451,NR,"Classics, Science Fiction & Fantasy",François Truffaut,112,Fresh,81,72,5
The Fan,R,"Drama, Mystery & Suspense",Edward Bianchi,95,Rotten,38,32,1
Fandango,PG,"Comedy, Drama",Kevin Reynolds,91,Rotten,50,78,0
Far From the Madding Crowd,PG,"Drama, Romance",John Schlesinger,169,Fresh,64,76,14
"Farewell, My Lovely",R,"Classics, Drama, Mystery & Suspense","Dick Richards, R.M. Richards",97,Fresh,76,73,5
Fatal Attraction,R,"Drama, Mystery & Suspense",Adrian Lyne,119,Certified-Fresh,76,72,9
Father of the Bride,G,"Classics, Comedy, Drama",Vincente Minnelli,93,Fresh,90,74,6
Fire and Ice,PG,"Action & Adventure, Animation, Cult Movies, Science Fiction & Fantasy",Ralph Bakshi,81,Fresh,60,53,0
Flash Gordon,PG,"Action & Adventure, Comedy, Science Fiction & Fantasy",Mike Hodges,110,Certified-Fresh,83,69,7
Flashback,R,Comedy,Franco Amurri,108,Rotten,43,60,1
Flesh & Blood (Flesh+Blood) (The Rose and the Sword),R,"Action & Adventure, Drama",Paul Verhoeven,126,Fresh,85,63,2
The Flight of the Phoenix,NR,"Action & Adventure, Classics, Drama",Robert Aldrich,147,Fresh,90,81,1
Flipper,G,"Action & Adventure, Classics, Drama, Kids & Family, Television",James B. Clark,90,Rotten,40,49,0
The Fly,NR,"Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy",Kurt Neumann,94,Certified-Fresh,95,70,5
The Fly,R,"Drama, Horror, Science Fiction & Fantasy",David Cronenberg,95,Certified-Fresh,92,83,12
Flying Tigers,NR,"Action & Adventure, Classics, Drama",David Miller,102,Fresh,67,68,0
Footloose,PG,"Drama, Musical & Performing Arts, Romance",Herbert Ross,107,Rotten,52,71,6
The Four Feathers,NR,"Action & Adventure, Art House & International, Classics",Zoltan Korda,115,Fresh,100,85,0
Frantic,R,"Action & Adventure, Drama, Mystery & Suspense",Roman Polanski,120,Certified-Fresh,76,64,6
Freaky Friday,G,"Comedy, Kids & Family, Science Fiction & Fantasy",Gary Nelson,95,Fresh,70,57,4
Fright Night,R,Horror,Tom Holland,106,Fresh,92,76,5
From Here to Eternity,G,"Classics, Drama, Romance",Fred Zinnemann,118,Certified-Fresh,92,84,16
Frosty the Snowman,G,"Animation, Kids & Family","Arthur Rankin Jr., Jules Bass",22,Fresh,73,72,5
The Fugitive,NR,Drama,John Ford,104,Fresh,86,61,0
Fun with Dick and Jane,PG,Comedy,Ted Kotcheff,95,Rotten,50,51,1
Funny Farm,PG,Comedy,George Roy Hill,103,Fresh,65,50,2
The Fury,R,"Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy",Brian DePalma,118,Fresh,75,49,1
Galaxy of Terror (Mindwarp: An Infinity of Terror) (Planet of Horrors) (Quest),R,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy","B.D. Clark, Bruce D. Clark",80,Rotten,31,29,0
Gallipoli,PG,"Art House & International, Drama",Peter Weir,110,Certified-Fresh,91,83,10
The Gambler,R,"Classics, Drama",Karel Reisz,109,Fresh,78,77,1
Game of Death,R,"Action & Adventure, Art House & International",Robert Clouse,102,Rotten,50,64,1
The General,R,"Comedy, Drama, Romance","Clyde Bruckman, Buster Keaton",83,Certified-Fresh,93,92,11
The Getaway,R,"Action & Adventure, Classics, Drama",Sam Peckinpah,122,Fresh,86,81,2
Girls! Girls! Girls!,PG,"Classics, Comedy, Musical & Performing Arts, Special Interest, Romance",Norman Taurog,106,Rotten,33,50,0
Gloria,PG,"Action & Adventure, Comedy, Drama, Mystery & Suspense",John Cassavetes,121,Fresh,93,80,6
Glory,R,Drama,Edward Zwick,122,Certified-Fresh,93,93,10
Go West,NR,"Classics, Comedy, Musical & Performing Arts, Western",Edward Buzzell,81,Fresh,89,59,0
Gone in 60 Seconds,PG,"Action & Adventure, Cult Movies, Drama, Mystery & Suspense",H.B. Halicki,105,Rotten,43,66,1
The Goodbye Girl,PG,"Comedy, Romance",Herbert Ross,110,Fresh,84,84,1
"Goodbye, Mr. Chips",NR,"Art House & International, Classics, Comedy, Drama, Romance",Sam Wood,114,Fresh,82,87,0
The Great Gatsby,PG,"Classics, Drama, Romance",Jack Clayton,144,Rotten,39,47,7
The Great Race,G,"Action & Adventure, Classics, Comedy, Kids & Family, Romance",Blake Edwards,150,Fresh,74,83,2
The Green Berets,G,"Action & Adventure, Classics, Drama","John Wayne, Ray Kellogg",141,Rotten,23,61,2
Grizzly,PG,"Horror, Mystery & Suspense",William Girdler,90,Rotten,40,31,1
The Group,PG,Drama,Sidney Lumet,150,Fresh,60,58,0
Gulliver's Travels,NR,"Action & Adventure, Animation, Classics, Comedy, Kids & Family",Dave Fleischer,74,Fresh,69,53,0
The Gunfighter,NR,"Action & Adventure, Drama, Western",Henry King,84,Fresh,100,89,1
Gung Ho,PG-13,Comedy,Ron Howard,111,Rotten,33,46,6
Gypsy,NR,"Classics, Musical & Performing Arts",Mervyn LeRoy,149,Fresh,64,74,0
Hairspray,PG,"Comedy, Drama, Musical & Performing Arts",John Waters,90,Certified-Fresh,98,80,9
Halloween,R,"Horror, Mystery & Suspense",John Carpenter,91,Certified-Fresh,96,89,10
Hamlet,NR,"Classics, Drama",Laurence Olivier,153,Certified-Fresh,95,80,8
The Hand,R,"Drama, Horror",Oliver Stone,104,Rotten,11,28,1
Hard Times,PG,"Action & Adventure, Classics, Drama",Walter Hill,92,Fresh,92,81,2
Hardcore,R,Drama,Paul Schrader,108,Fresh,76,67,1
The Harder They Fall,NR,"Classics, Drama, Mystery & Suspense",Mark Robson,109,Fresh,100,80,1
The Haunting,G,"Classics, Horror",Robert Wise,112,Certified-Fresh,88,82,7
Hawaii,NR,"Action & Adventure, Classics, Drama",George Roy Hill,181,Fresh,67,53,4
Heat,R,"Action & Adventure, Drama",R.M. Richards,102,Rotten,17,26,2
Heaven,PG-13,"Documentary, Special Interest",Diane Keaton,80,Fresh,67,67,1
Heaven Can Wait,PG,"Comedy, Science Fiction & Fantasy, Romance, Sports & Fitness","Warren Beatty, Buck Henry",101,Certified-Fresh,88,68,8
Heidi,G,"Action & Adventure, Classics, Drama, Kids & Family",Allan Dwan,88,Fresh,100,74,2
The Hidden Fortress (kakushi-toride No San-akunin),NR,"Action & Adventure, Art House & International, Classics, Drama",Akira Kurosawa,139,Fresh,97,93,4
The Hills Have Eyes,R,"Horror, Mystery & Suspense",Wes Craven,83,Fresh,65,54,2
The Hindenburg,PG,"Action & Adventure, Drama, Mystery & Suspense","Robert Wise, John A. Bolger, Jr.",125,Rotten,36,37,1
The Hit,R,"Action & Adventure, Comedy, Drama, Mystery & Suspense",Stephen Frears,98,Fresh,86,75,5
A Hole in the Head,NR,"Classics, Comedy, Drama, Musical & Performing Arts",Frank Capra,120,Fresh,75,49,0
Hot Pursuit,PG-13,Comedy,Steven Lisberger,92,Rotten,0,43,0
100 Bloody Acres,NR,"Comedy, Horror","Colin Cairnes, Cameron Cairnes",91,Fresh,79,47,13
100 Girls,R,"Comedy, Romance",Michael Davis,95,Fresh,60,50,0
100 Streets,NR,Drama,Jim O'Hanlon,93,Rotten,41,36,10
The Hound of the Baskervilles,NR,"Classics, Drama, Horror, Mystery & Suspense",Sidney Lanfield,80,Fresh,91,83,0
The Hound of the Baskervilles,R,"Art House & International, Classics, Mystery & Suspense",Terence Fisher,84,Fresh,94,72,1
"House (Ding Dong, You're Dead)",R,"Comedy, Horror",Steve Miner,92,Rotten,57,46,1
House of Wax,PG,"Drama, Horror, Mystery & Suspense",André De Toth,88,Certified-Fresh,95,72,6
House On Haunted Hill,PG,"Classics, Drama, Horror",William Castle,75,Fresh,88,73,4
Hud,NR,"Classics, Drama",Martin Ritt,112,Fresh,82,89,4
The Human Factor,R,"Drama, Mystery & Suspense, Romance",Otto Preminger,115,Rotten,33,23,1
The Hunchback of Notre Dame,PG,"Classics, Drama, Horror, Special Interest","Wallace Worsley, Wallace Worsley Sr.",93,Fresh,92,76,3
The Hunchback of Notre Dame,NR,"Classics, Drama, Romance",William Dieterle,116,Fresh,93,87,0
The Hunter,PG,"Action & Adventure, Drama, Mystery & Suspense, Television",Buzz Kulik,97,Rotten,50,49,2
Hustle,R,"Action & Adventure, Classics, Drama, Mystery & Suspense",Robert Aldrich,120,Fresh,63,48,1
"I, the Jury",R,"Action & Adventure, Drama, Mystery & Suspense",Richard T. Heffron,110,Rotten,40,39,5
Imitation of Life,NR,"Classics, Drama",Douglas Sirk,125,Fresh,81,91,9
The Importance of Being Earnest,PG,"Classics, Comedy",Anthony Asquith,95,Fresh,88,83,6
Impulse,R,"Action & Adventure, Drama, Mystery & Suspense",Sondra Locke,108,Rotten,25,21,2
In Cold Blood,R,Drama,Richard Brooks,134,Fresh,84,88,10
The Incubus,R,"Horror, Mystery & Suspense",John Hough,92,Rotten,29,22,0
Indiscreet,PG,"Classics, Comedy, Romance",Stanley Donen,100,Fresh,100,69,6
The Informer,NR,"Classics, Drama",John Ford,91,Fresh,94,77,0
Inherit the Wind,PG,"Classics, Drama, Faith & Spirituality",Stanley Kramer,127,Fresh,92,91,2
Intolerance,PG,Classics,D.W. Griffith,178,Fresh,97,77,7
Invaders from Mars,NR,"Classics, Science Fiction & Fantasy",William Cameron Menzies,73,Fresh,82,56,0
Invaders From Mars,PG,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Tobe Hooper,98,Rotten,33,33,0
Invasion of the Body Snatchers,PG,"Classics, Mystery & Suspense, Science Fiction & Fantasy",Don Siegel,80,Certified-Fresh,98,85,10
Invasion of the Body Snatchers,PG,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Philip Kaufman,115,Certified-Fresh,93,81,9
The Invisible Man,NR,"Classics, Comedy, Horror, Science Fiction & Fantasy",James Whale,71,Certified-Fresh,94,85,9
The Island,R,"Drama, Horror, Mystery & Suspense",Michael Ritchie,114,Rotten,40,51,0
The Island of Dr. Moreau,PG,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy",Don Taylor,98,Rotten,56,40,3
Islands in the Stream,PG,Drama,Franklin J. Schaffner,105,Fresh,88,63,1
It,NR,"Classics, Comedy, Drama, Romance","Clarence Badger, Josef von Sternberg, Clarence G. Badger",72,Fresh,87,81,2
It's Alive,R,"Classics, Drama, Horror, Mystery & Suspense",Larry Cohen,90,Fresh,74,40,0
Ivanhoe,G,"Action & Adventure, Art House & International, Classics, Drama, Romance",Richard Thorpe,106,Fresh,81,64,3
Jack and the Beanstalk,G,"Classics, Comedy, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy",Jean Yarbrough,78,Rotten,43,38,0
Jack Frost,G,"Animation, Kids & Family, Musical & Performing Arts, Television","Jules Bass, Arthur Rankin Jr.",,Rotten,57,61,3
Jamaica Inn,NR,"Action & Adventure, Art House & International, Classics, Mystery & Suspense",Alfred Hitchcock,99,Rotten,57,36,5
Jason and the Argonauts,G,"Action & Adventure, Classics, Kids & Family, Science Fiction & Fantasy",Don Chaffey,104,Certified-Fresh,89,79,5
The Jazz Singer,NR,"Classics, Drama, Musical & Performing Arts",Alan Crosland,97,Fresh,75,56,4
The Jazz Singer,PG,"Drama, Musical & Performing Arts",Richard Fleischer,115,Rotten,19,70,4
Jesus Christ Superstar,G,"Drama, Musical & Performing Arts, Faith & Spirituality",Norman Jewison,107,Rotten,52,76,3
Johnny Belinda,NR,"Classics, Drama",Jean Negulesco,102,Fresh,89,88,0
Judex,NR,"Action & Adventure, Art House & International, Classics, Drama",Georges Franju,95,Fresh,90,82,1
Julius Caesar,NR,"Classics, Drama, Mystery & Suspense",Joseph L. Mankiewicz,121,Fresh,95,81,6
Julius Caesar,G,"Action & Adventure, Art House & International, Classics, Drama",Stuart Burge,117,Rotten,40,35,2
Jungle Book,G,"Action & Adventure, Classics, Drama",Zoltan Korda,109,Rotten,57,56,4
Kansas,R,"Action & Adventure, Drama, Mystery & Suspense",David Stevens,110,Rotten,20,19,1
Kickboxer,R,"Action & Adventure, Drama","David Worth, Mark DiSalle",105,Rotten,36,65,3
Kid Galahad,G,"Classics, Drama, Musical & Performing Arts",Phil Karlson,95,Rotten,40,57,0
The Killer Elite,PG,"Action & Adventure, Drama, Mystery & Suspense",Sam Peckinpah,122,Rotten,50,34,3
The King and I,G,"Classics, Musical & Performing Arts, Romance",Walter Lang,133,Fresh,96,83,4
King Kong,G,"Action & Adventure, Classics, Horror","Ernest B. Schoedsack, Merian C. Cooper",100,Certified-Fresh,98,86,12
King Kong,PG,"Action & Adventure, Horror, Science Fiction & Fantasy",John Guillermin,134,Rotten,53,31,7
The King of Comedy,PG,"Comedy, Drama, Mystery & Suspense",Martin Scorsese,101,Certified-Fresh,89,90,11
King of Kings,PG-13,"Classics, Drama, Faith & Spirituality",Nicholas Ray,160,Fresh,85,77,5
King Solomon's Mines,G,"Action & Adventure, Classics, Drama","Compton Bennett, Andrew Marton",102,Fresh,92,59,0
The Lady Vanishes,PG,"Classics, Mystery & Suspense",Alfred Hitchcock,97,Certified-Fresh,98,88,7
The Ladykillers,NR,"Art House & International, Classics, Comedy, Drama, Mystery & Suspense",Alexander Mackendrick,90,Fresh,100,87,3
